[2017-11-16 17:31:15,194](INFO)captHttpData : "2017-11-16 17:31:15"	"192.168.1.138"	"123.58.182.253"	"58579"	"80"	"GET"	"http://notify3.note.youdao.com/pushserver3/client?ClientVer=50800000001&GUID=PCa7cf7414d8d7cd4c6&app=ydrive&cl=desktop&client_ver=50800000001&cto=600000&device_id=PCa7cf7414d8d7cd4c6&device_name=LISON&device_type=PC&did=PCa7cf7414d8d7cd4c6&keyfrom=pc&lp=1510821673081&os=Windows&os_ver=Windows%207&pv=1&subvendor=&vendor=jinshanduba&vendornew=qq.gj&ver=0"	"Ydrive client"
[2017-11-16 17:31:19,831](INFO)captHttpData : "2017-11-16 17:31:19"	"192.168.1.138"	"180.96.1.115"	"58823"	"80"	"GET"	"http://d.url.cn/myapp/qq_desk/QQcover/qq_cover_def_003.png"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
[2017-11-16 17:32:00,830](INFO)captHttpData : "2017-11-16 17:32:00"	"192.168.1.138"	"58.211.85.44"	"58832"	"80"	"GET"	"http://58.211.85.44/gchatpic_new/ACE785501DB1D2E17A8B1F16C9B6EE6303E529E4E356CB51014871222176EB44C9ABB9EEB208858F81EF423E803BC1E1590BE5BDB7AA1A9A59F8D3B0AC8A7B48026E25E5281D4FD9A24384A64FE11E75053955DE0802F0C0/0?vuin=279119820&term=1&srvver=26750&rf=aio"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
[2017-11-16 17:32:50,184](INFO)captHttpData : "2017-11-16 17:32:50"	"192.168.1.138"	"104.17.106.175"	"58846"	"80"	"GET"	"http://crl.usertrust.com/UTN-USERFirst-Object.crl"	"Microsoft-CryptoAPI/6.1"
[2017-11-16 17:32:50,230](INFO)captHttpData : "2017-11-16 17:32:50"	"192.168.1.138"	"101.110.118.30"	"58847"	"80"	"GET"	"http://101.110.118.30/crl.usertrust.com/UTN-USERFirst-Object.crl"	"Microsoft-CryptoAPI/6.1"
"2017-11-16 17:33:06"	"192.168.1.174"	"112.74.114.37"	"44581"	"8070"	"GET"	"http://112.74.114.37:8070/pms/projectmgrservlet.do?action=listPreProject"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
"2017-11-16 17:33:16"	"192.168.1.138"	"211.159.130.107"	"58848"	"80"	"POST"	"http://infoc2.duba.net/c/"	"Mozilla/4.0"
"2017-11-16 17:33:17"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:33:17"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:33:17"	"192.168.1.138"	"180.163.26.34"	"58849"	"80"	"POST"	"http://conna.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:33:26"	"192.168.1.138"	"180.163.32.152"	"58889"	"80"	"POST"	"http://conna.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:33:28"	"192.168.1.174"	"112.74.114.37"	"44588"	"8070"	"GET"	"http://112.74.114.37:8070/pms/expenseservlet.do?action=listExpenseForCheck"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
"2017-11-16 17:33:30"	"192.168.1.174"	"112.74.114.37"	"44588"	"8070"	"GET"	"http://112.74.114.37:8070/pms/expenseservlet.do?action=listMyExpense"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
"2017-11-16 17:34:10"	"192.168.1.138"	"180.97.8.120"	"58891"	"80"	"GET"	"http://q2.qlogo.cn/g?b=qq&nk=854810337&s=40&t=1510824850"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
"2017-11-16 17:34:10"	"192.168.1.138"	"180.97.8.120"	"58891"	"80"	"GET"	"http://q2.qlogo.cn/g?b=qq&nk=854810337&s=100&t=1510824850"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
"2017-11-16 17:34:37"	"192.168.1.138"	"58.211.85.20"	"58893"	"80"	"GET"	"http://58.211.85.20/gchatpic_new/64A55D838FFA7F98044A0EC87092C754AFD3BF334631B44D80FA4E4BDB2ABC151B427B25354C8A3F426B5BFF635D5C898424B877E51017AD9920F91E507E823416F0A171F75CF8C0A4126D7F2B5E9C5278E5F4394AC1D56C/0?vuin=279119820&term=1&srvver=26750&rf=aio"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
"2017-11-16 17:34:41"	"192.168.1.138"	"140.205.172.21"	"58894"	"80"	"GET"	"http://blades.aliyun.com/ck?itn=17&glb=1"	"WinHTTP Example/1.0"
"2017-11-16 17:37:48"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:37:48"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:38:13"	"192.168.1.174"	"123.58.190.228"	"48183"	"80"	"GET"	"http://mirrors.163.com/centos/6/os/x86_64/repodata/repomd.xml"	"urlgrabber/3.9.1 yum/3.2.29"
"2017-11-16 17:38:24"	"192.168.1.174"	"123.58.190.228"	"48183"	"80"	"GET"	"http://mirrors.163.com/centos/6/extras/x86_64/repodata/repomd.xml"	"urlgrabber/3.9.1 yum/3.2.29"
"2017-11-16 17:38:24"	"192.168.1.174"	"123.58.190.228"	"48183"	"80"	"GET"	"http://mirrors.163.com/centos/6/updates/x86_64/repodata/repomd.xml"	"urlgrabber/3.9.1 yum/3.2.29"
"2017-11-16 17:38:25"	"192.168.1.174"	"123.58.190.228"	"48183"	"80"	"GET"	"http://mirrors.163.com/centos/6/updates/x86_64/repodata/db042a9b31d94be57d8de7a1b1e8dfc9295d2c89342ee54ed86e8791e88dec7d-primary.sqlite.bz2"	"urlgrabber/3.9.1 yum/3.2.29"
"2017-11-16 17:40:21"	"192.168.1.174"	"112.74.114.37"	"44617"	"8070"	"GET"	"http://112.74.114.37:8070/pms/reportservlet.do?action=searchReport"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
"2017-11-16 17:40:24"	"192.168.1.174"	"112.74.114.37"	"44617"	"8070"	"POST"	"http://112.74.114.37:8070/pms/reportservlet.do"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
"2017-11-16 17:40:59"	"192.168.1.138"	"211.159.130.107"	"58958"	"80"	"POST"	"http://infoc2.duba.net/c/"	"Mozilla/4.0"
"2017-11-16 17:40:59"	"192.168.1.138"	"211.159.130.107"	"58959"	"80"	"POST"	"http://infoc2.duba.net/c/"	"Mozilla/4.0"
"2017-11-16 17:40:59"	"192.168.1.138"	"211.159.155.139"	"58960"	"80"	"POST"	"http://software.drivergenius.com/vote2009_v2/getip.aspx?tryno=1611&cid=2"	"Mozilla/4.0"
"2017-11-16 17:41:00"	"192.168.1.138"	"111.230.214.171"	"58961"	"80"	"POST"	"http://dr.cs3.duba.net/v/"	"Mozilla/4.0"
"2017-11-16 17:41:15"	"192.168.1.138"	"123.58.182.253"	"58579"	"80"	"GET"	"http://notify3.note.youdao.com/pushserver3/client?ClientVer=50800000001&GUID=PCa7cf7414d8d7cd4c6&app=ydrive&cl=desktop&client_ver=50800000001&cto=600000&device_id=PCa7cf7414d8d7cd4c6&device_name=LISON&device_type=PC&did=PCa7cf7414d8d7cd4c6&keyfrom=pc&lp=1510821673081&os=Windows&os_ver=Windows%207&pv=1&subvendor=&vendor=jinshanduba&vendornew=qq.gj&ver=0"	"Ydrive client"
"2017-11-16 17:41:16"	"192.168.1.138"	"180.96.30.17"	"58972"	"80"	"GET"	"http://pub.idqqimg.com/pc/qqclient/sfile/index.json"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
"2017-11-16 17:41:30"	"192.168.1.138"	"211.159.130.107"	"58975"	"80"	"POST"	"http://infoc2.duba.net/c/"	"Mozilla/4.0"
"2017-11-16 17:42:06"	"192.168.1.138"	"101.226.152.108"	"58986"	"443"	"GET"	"http://dns.weixin.qq.com/cgi-bin/micromsg-bin/newgetdns?uin=441242920&clientversion=1644496154&scene=0&net=1&md5=31c956de3bcce7775f3b16c117a1f26d&devicetype=Windows+7&lan=zh_CN&sigver=2"	"MicroMessenger Client"
"2017-11-16 17:42:06"	"192.168.1.138"	"101.227.162.149"	"58988"	"80"	"POST"	"http://101.227.162.149/mmtls/000016f5"	"MicroMessenger Client"
